name,type,$kuid,col_name,$autoname,label,$qpath,required,appearance,select_from_list_name,relevant,hint
dinge_zutrauen,select_one,sXbtrGPpW,block_aussagen/aussagen_tensing/dinge_zutrauen,dinge_zutrauen,"Ich traue mir bei TEN SING Sachen zu, die ich mich davor nicht getraut habe.",group_bc7fc89-aussagen_tensing-dinge_zutrauen,FALSE,list-nolabel,ql4ex71,NA,NA
eigene_entwicklung,select_one,gl7ZVOBsm,block_aussagen/aussagen_tensing/eigene_entwicklung,eigene_entwicklung,"Ich habe das Gefühl, dass ich mich, seitdem ich bei TEN SING bin, weiterentwickelt habe.",group_bc7fc89-aussagen_tensing-eigene_entwicklung,FALSE,list-nolabel,ql4ex71,NA,NA
entfaltung_kreativitae,select_one,J3HW9s6dU,block_aussagen/aussagen_tensing/entfaltung_kreativitae,entfaltung_kreativitae,Bei TEN SING kann ich meine Kreativität voll und ganz entfalten.,group_bc7fc89-aussagen_tensing-entfaltung_kreativitae,FALSE,list-nolabel,ql4ex71,NA,NA
fehlerkultur,select_one,FiGxNTfEE,block_aussagen/aussagen_tensing/fehlerkultur,fehlerkultur,"Wenn mir bei TEN SING mal ein Fehler passiert, ist das überhaupt nicht schlimm.",group_bc7fc89-aussagen_tensing-fehlerkultur,FALSE,list-nolabel,ql4ex71,NA,NA
glaube_spiritualitaet,select_one,xEZbBloC9,block_aussagen/aussagen_tensing/glaube_spiritualitaet,glaube_spiritualitaet,Bei TEN SING setzte ich mich mit meinem Glauben / Spiritualität auseinander.,group_bc7fc89-aussagen_tensing-glaube_spiritualitaet,FALSE,list-nolabel,ql4ex71,NA,NA
gute_entscheidung,select_one,VpFVoUHwN,block_aussagen/aussagen_tensing/gute_entscheidung,gute_entscheidung,Es war eine gute Entscheidung in die TEN SING Gruppe zu gehen.,group_bc7fc89-aussagen_tensing-gute_entscheidung,FALSE,list-nolabel,ql4ex71,NA,NA
ideeneinbringen,select_one,pZnpEbysp,block_aussagen/aussagen_tensing/ideeneinbringen,ideeneinbringen,Ich kann bei TEN SING meine eigenen Ideen einbringen.,group_bc7fc89-aussagen_tensing-ideeneinbringen,FALSE,list-nolabel,ql4ex71,NA,NA
internationale_projekt,select_one,f2n1NL0Wp,block_aussagen/aussagen_tensing/internationale_projekt,internationale_projekt,Ich habe Interesse an internationalen TEN SING Projekten.,group_bc7fc89-aussagen_tensing-internationale_projekt,FALSE,list-nolabel,ql4ex71,NA,NA
neues_lernen,select_one,L96PNR2Gv,block_aussagen/aussagen_tensing/neues_lernen,neues_lernen,Bei TEN SING kann ich neue Dinge lernen.,group_bc7fc89-aussagen_tensing-neues_lernen,FALSE,list-nolabel,ql4ex71,NA,NA
selbst_sein,select_one,X2Sw1VFei,block_aussagen/aussagen_tensing/selbst_sein,selbst_sein,Bei TEN SING kann ich so sein wie ich möchte.,group_bc7fc89-aussagen_tensing-selbst_sein,FALSE,list-nolabel,ql4ex71,NA,NA
selbstbewusstsein,select_one,ccrSUyxSe,block_aussagen/aussagen_tensing/selbstbewusstsein,selbstbewusstsein,"Ich merke, dass ich selbstbewusster bin, seitdem ich bei TEN SING bin.",group_bc7fc89-aussagen_tensing-selbstbewusstsein,FALSE,list-nolabel,ql4ex71,NA,NA
transfer,select_one,ASmMSMNAY,block_aussagen/aussagen_tensing/transfer,transfer,"Dinge, die ich bei TEN SING gelernt habe, kann ich auch woanders einsetzten (z. B. Schule, in der Arbeit).",group_bc7fc89-aussagen_tensing-transfer,FALSE,list-nolabel,ql4ex71,NA,NA
