name,type,$kuid,$qpath,col_name,$autoname,label,required,appearance,select_from_list_name,relevant,hint
dinge_zutrauen,select_one,sXbtrGPpW,group_bc7fc89-aussagen_tensing-dinge_zutrauen,group_bc7fc89/aussagen_tensing/dinge_zutrauen,dinge_zutrauen,"Ich traue mir bei TEN SING Sachen zu, die ich mich davor nicht getraut habe.",FALSE,list-nolabel,ql4ex71,NA,NA
eigene_entwicklung,select_one,gl7ZVOBsm,group_bc7fc89-aussagen_tensing-eigene_entwicklung,group_bc7fc89/aussagen_tensing/eigene_entwicklung,eigene_entwicklung,"Ich habe das Gefühl, dass ich mich, seitdem ich bei TEN SING bin, weiterentwickelt habe.",FALSE,list-nolabel,ql4ex71,NA,NA
entfaltung_kreativitae,select_one,J3HW9s6dU,group_bc7fc89-aussagen_tensing-entfaltung_kreativitae,group_bc7fc89/aussagen_tensing/entfaltung_kreativitae,entfaltung_kreativitae,Bei TEN SING kann ich meine Kreativität voll und ganz entfalten.,FALSE,list-nolabel,ql4ex71,NA,NA
fehlerkultur,select_one,FiGxNTfEE,group_bc7fc89-aussagen_tensing-fehlerkultur,group_bc7fc89/aussagen_tensing/fehlerkultur,fehlerkultur,"Wenn mir bei TEN SING mal ein Fehler passiert, ist das überhaupt nicht schlimm.",FALSE,list-nolabel,ql4ex71,NA,NA
glaube_spiritualitaet,select_one,xEZbBloC9,group_bc7fc89-aussagen_tensing-glaube_spiritualitaet,group_bc7fc89/aussagen_tensing/glaube_spiritualitaet,glaube_spiritualitaet,Bei TEN SING setzte ich mich mit meinem Glauben / Spiritualität auseinander.,FALSE,list-nolabel,ql4ex71,NA,NA
gute_entscheidung,select_one,VpFVoUHwN,group_bc7fc89-aussagen_tensing-gute_entscheidung,group_bc7fc89/aussagen_tensing/gute_entscheidung,gute_entscheidung,Es war eine gute Entscheidung in die TEN SING Gruppe zu gehen.,FALSE,list-nolabel,ql4ex71,NA,NA
ideeneinbringen,select_one,pZnpEbysp,group_bc7fc89-aussagen_tensing-ideeneinbringen,group_bc7fc89/aussagen_tensing/ideeneinbringen,ideeneinbringen,Ich kann bei TEN SING meine eigenen Ideen einbringen.,FALSE,list-nolabel,ql4ex71,NA,NA
internationale_projekt,select_one,f2n1NL0Wp,group_bc7fc89-aussagen_tensing-internationale_projekt,group_bc7fc89/aussagen_tensing/internationale_projekt,internationale_projekt,Ich habe Interesse an internationalen TEN SING Projekten.,FALSE,list-nolabel,ql4ex71,NA,NA
neues_lernen,select_one,L96PNR2Gv,group_bc7fc89-aussagen_tensing-neues_lernen,group_bc7fc89/aussagen_tensing/neues_lernen,neues_lernen,Bei TEN SING kann ich neue Dinge lernen.,FALSE,list-nolabel,ql4ex71,NA,NA
selbst_sein,select_one,X2Sw1VFei,group_bc7fc89-aussagen_tensing-selbst_sein,group_bc7fc89/aussagen_tensing/selbst_sein,selbst_sein,Bei TEN SING kann ich so sein wie ich möchte.,FALSE,list-nolabel,ql4ex71,NA,NA
selbstbewusstsein,select_one,ccrSUyxSe,group_bc7fc89-aussagen_tensing-selbstbewusstsein,group_bc7fc89/aussagen_tensing/selbstbewusstsein,selbstbewusstsein,"Ich merke, dass ich selbstbewusster bin, seitdem ich bei TEN SING bin.",FALSE,list-nolabel,ql4ex71,NA,NA
transfer,select_one,ASmMSMNAY,group_bc7fc89-aussagen_tensing-transfer,group_bc7fc89/aussagen_tensing/transfer,transfer,"Dinge, die ich bei TEN SING gelernt habe, kann ich auch woanders einsetzten (z. B. Schule, in der Arbeit).",FALSE,list-nolabel,ql4ex71,NA,NA
